login_hour,session_duration,request_frequency,failed_login_count,packet_size_avg,bytes_transferred,port_number,protocol_encoded,device_trust_score
16,41.2,7.68,1,1238.35,14.46,443,1,92.15
15,34.88,21.07,0,1312.26,27.4,443,1,87.11
15,64.14,25.34,2,672.16,0.54,443,0,93.88
15,17.22,16.45,0,336.35,1.43,80,0,83.64
11,37.77,20.43,0,919.1,10.28,443,1,66.62
14,22.06,10.92,0,837.25,16.32,443,0,95.72
15,16.96,25.77,0,1012.21,15.66,443,0,100.0
11,29.84,35.56,0,856.98,12.72,443,0,95.57
21,32.06,14.03,0,811.72,21.84,80,0,89.93
15,73.77,18.77,0,1025.78,2.45,443,0,90.13
9,27.24,30.03,0,1053.76,1.13,443,0,91.72
16,13.05,37.12,1,522.69,9.55,443,0,91.42
10,34.1,10.07,0,636.68,17.28,22,0,89.39
17,1.12,23.31,0,778.88,8.72,443,0,90.25
18,28.62,27.83,0,819.69,32.97,443,0,100.0
10,30.24,23.98,0,754.8,15.88,443,0,94.72
17,41.92,0.23,1,886.84,12.07,443,0,91.05
15,44.6,30.01,0,999.22,0.62,443,0,96.59
17,22.45,40.19,0,1144.54,1.14,8080,0,96.59
21,27.74,26.17,0,915.78,15.36,443,0,99.46
13,18.51,14.69,0,629.53,2.21,80,0,82.43
10,13.08,19.87,0,770.52,0.29,443,0,85.19
10,34.65,42.7,0,784.93,24.16,443,0,81.86
10,10.9,34.1,0,902.93,22.15,8080,0,97.67
13,23.78,31.4,0,877.63,2.47,443,0,97.18
15,15.07,28.56,0,1210.08,15.15,443,0,77.27
15,38.25,18.39,0,707.7,0.49,22,1,93.91
17,57.02,22.99,0,876.95,3.36,22,0,100.0
14,10.48,24.22,0,1270.94,9.77,80,0,87.65
19,2.2,30.5,0,682.96,14.4,80,0,93.14
12,28.13,40.09,0,829.03,0.1,443,0,97.3
23,30.24,36.18,0,611.02,3.95,443,0,76.79
16,33.28,10.81,0,816.42,2.41,80,0,91.52
10,23.31,27.24,1,643.96,67.09,8080,0,100.0
9,26.99,32.37,0,1009.36,11.12,443,0,84.07
15,35.51,31.19,0,829.46,5.2,443,0,98.32
13,45.61,18.71,0,612.92,0.79,443,1,90.27
16,0.67,54.14,0,968.11,9.13,443,0,83.25
15,24.47,12.23,0,835.93,10.26,443,0,89.03
13,33.21,14.17,0,990.56,16.95,80,1,84.74
10,16.23,27.34,0,570.47,3.4,443,0,81.12
7,55.97,46.17,0,873.76,39.86,443,0,87.46
12,20.47,16.64,0,954.67,5.79,443,0,90.68
17,29.38,22.34,0,715.32,3.51,443,0,88.34
14,38.34,35.77,1,548.2,4.28,443,0,87.35
9,21.13,24.82,3,791.68,7.33,443,0,92.26
14,2.3,21.65,1,1045.62,27.6,443,0,95.31
15,23.57,30.66,0,1025.19,13.29,443,0,78.56
10,45.44,27.73,0,714.31,8.61,443,0,87.48
14,24.95,35.3,0,543.38,1.78,443,0,70.26
14,17.3,37.91,0,713.76,1.62,8080,0,88.38
9,43.89,28.07,0,706.3,6.98,80,0,91.51
15,25.04,27.92,0,889.29,13.05,80,1,95.7
16,22.35,27.14,2,779.0,13.9,443,0,91.54
18,32.24,29.89,0,649.35,2.56,443,0,95.48
18,41.56,25.55,0,1020.85,1.05,443,0,90.65
8,65.73,24.99,0,828.09,4.85,80,0,83.24
10,42.41,36.97,2,887.08,25.03,443,0,78.84
16,47.4,40.16,0,455.0,7.88,80,0,87.37
16,22.41,9.92,0,315.15,3.86,443,1,82.34
16,14.61,25.1,0,512.49,3.91,443,0,88.8
23,30.93,18.11,0,703.89,1.42,443,0,85.08
16,31.61,21.89,0,915.27,6.41,80,0,94.19
18,13.82,29.03,0,331.55,15.67,443,0,90.49
17,27.37,31.69,0,1118.57,34.6,443,0,94.47
16,35.99,23.88,0,834.11,6.96,22,1,94.42
12,35.41,5.87,0,1072.06,1.83,443,0,88.2
17,37.56,15.35,0,622.81,11.49,443,0,88.82
10,34.36,33.96,1,900.77,14.14,443,0,95.02
13,22.39,2.4,2,817.04,0.74,443,0,100.0
12,22.29,36.87,0,963.54,18.98,443,0,80.11
14,12.02,30.21,1,753.24,17.68,80,1,90.42
23,56.77,38.16,0,894.64,6.4,443,1,78.04
6,30.2,23.01,0,1020.44,8.22,80,0,89.79
16,26.63,4.39,0,669.76,12.5,443,0,83.26
7,16.07,29.3,0,848.45,11.29,443,0,88.8
12,74.03,37.75,0,422.43,0.17,8080,0,91.55
18,13.9,34.25,0,940.5,1.31,443,0,85.11
14,23.57,18.37,0,1190.93,1.77,80,0,72.16
9,36.24,25.87,0,551.11,14.09,80,0,100.0
11,39.0,19.67,0,781.72,5.8,443,0,98.39
16,44.37,16.81,0,976.1,7.89,443,0,88.69
11,57.11,34.55,0,806.28,14.81,443,0,81.05
14,37.59,13.02,3,833.02,4.17,22,1,90.85
14,14.16,16.06,0,721.8,13.82,443,0,93.61
11,26.15,13.96,1,714.37,5.84,443,1,97.7
22,34.62,10.1,0,782.66,4.73,443,0,98.62
16,61.02,26.46,0,808.33,4.05,443,0,100.0
5,9.03,36.62,0,563.71,33.51,443,1,72.59
14,48.04,23.15,0,786.8,14.78,443,0,86.95
11,32.7,9.94,0,1113.71,0.2,8080,0,99.93
17,42.57,33.4,0,716.17,31.56,443,0,80.76
10,28.47,41.86,0,552.55,14.94,443,0,100.0
13,17.36,18.54,0,769.72,1.62,443,1,100.0
16,41.26,20.21,0,657.08,0.79,80,0,100.0
17,39.82,30.16,0,532.33,3.68,443,0,96.62
9,44.58,41.22,0,827.83,9.79,443,0,85.52
12,29.8,19.8,0,657.94,9.59,443,0,92.82
12,21.0,11.68,0,675.06,3.23,443,0,76.54
11,6.62,31.31,0,830.69,5.9,443,0,82.19
21,42.29,32.99,1,493.37,2.38,443,0,82.89
15,36.36,25.06,1,451.69,0.52,443,0,90.62
8,15.51,19.42,0,934.17,7.28,443,0,86.08
17,21.92,34.94,0,413.83,4.26,80,0,92.62
22,23.0,30.28,0,604.66,7.83,443,1,98.78
18,7.76,17.32,0,440.03,29.28,22,0,82.9
7,17.73,25.49,3,702.77,1.55,443,0,91.49
12,12.99,11.48,3,885.61,0.02,80,0,85.84
19,23.81,31.86,0,822.47,0.8,443,0,91.9
11,18.92,22.38,0,1278.37,6.21,443,0,96.86
15,5.59,20.64,1,1017.38,12.27,80,0,99.21
17,60.34,24.67,0,613.77,8.69,443,0,96.7
10,48.79,25.4,0,560.59,6.83,443,0,94.14
13,18.31,33.95,0,1341.34,4.37,80,1,75.8
1,34.09,30.91,0,1012.51,3.71,80,0,79.19
9,36.26,23.44,0,917.87,4.72,443,0,81.76
12,47.87,32.64,0,814.97,9.46,443,0,93.59
9,17.72,29.01,0,854.7,1.84,443,0,77.09
20,46.38,20.73,0,503.59,14.76,22,0,93.38
8,21.78,23.75,0,831.41,8.56,443,0,92.64
12,9.96,23.52,0,814.25,3.14,80,0,70.64
14,40.86,30.05,0,619.17,6.95,443,0,79.12
19,49.36,21.33,0,692.29,32.91,443,0,100.0
8,68.82,21.1,3,1103.04,0.21,443,0,96.97
18,12.0,44.69,0,774.97,2.23,443,0,81.5
14,40.48,34.4,0,1214.23,5.95,443,0,79.65
10,23.85,17.39,1,451.86,10.17,443,0,65.5
15,41.75,30.71,0,695.57,2.39,443,0,100.0
14,7.94,26.18,0,490.54,26.8,443,0,90.41
11,11.06,28.92,0,558.12,10.29,443,0,100.0
14,18.36,26.37,0,634.36,20.99,443,0,88.08
12,31.18,36.9,0,863.06,3.99,80,0,92.83
14,20.38,28.46,0,853.37,17.66,443,0,98.91
16,39.89,24.38,3,664.14,4.75,443,0,100.0
20,45.4,35.42,0,354.44,2.91,8080,0,95.01
9,38.99,27.33,0,1095.54,24.27,443,1,90.02
22,54.28,26.21,0,742.85,0.97,22,1,90.28
6,36.24,28.14,0,576.74,28.63,443,0,79.54
13,11.75,24.06,1,854.99,6.13,443,0,86.18
16,50.45,25.09,0,840.89,49.1,443,0,90.51
15,20.92,19.13,0,735.46,7.76,443,0,100.0
11,43.66,17.49,0,829.71,14.17,443,0,85.7
13,53.61,15.01,0,568.99,0.07,443,0,100.0
12,36.85,11.08,1,951.98,6.87,80,0,89.18
11,7.56,16.2,0,600.63,13.37,443,0,100.0
17,16.23,23.26,0,678.89,15.27,443,0,96.77
15,49.84,26.03,0,929.76,1.72,443,1,96.09
11,27.46,22.29,0,1040.79,5.43,80,0,99.79
17,31.19,1.44,0,1117.15,5.43,443,0,98.33
15,41.38,40.75,0,1011.16,1.09,443,0,100.0
17,40.44,35.86,0,735.19,5.85,80,0,100.0
16,34.18,29.46,0,491.79,16.46,8080,0,100.0
10,26.87,44.07,0,1081.01,3.57,443,0,94.66
11,25.31,15.23,3,1074.14,5.67,22,0,85.58
16,42.87,43.88,0,665.6,32.43,443,0,93.66
16,38.3,15.35,0,984.24,0.32,22,0,70.74
13,26.14,27.39,1,733.56,8.95,443,0,98.29
14,46.23,12.26,0,1100.26,13.6,80,0,79.4
19,28.06,25.15,0,697.03,14.31,80,0,100.0
11,17.23,28.86,0,1195.73,12.59,443,0,100.0
16,18.62,23.45,0,957.22,12.96,443,0,75.49
13,15.32,32.14,0,1159.51,0.61,443,0,89.5
13,25.91,25.99,0,707.24,7.64,443,0,79.36
18,48.51,19.78,0,881.01,15.28,443,0,72.72
17,17.92,19.33,3,606.14,0.99,8080,0,88.94
17,32.83,33.11,0,968.8,0.12,443,1,96.35
19,20.15,18.46,0,979.81,16.85,443,0,97.54
14,26.1,34.15,0,1279.4,12.46,443,0,91.54
16,7.35,37.23,0,896.41,5.31,443,0,73.36
12,26.69,8.31,0,944.82,28.2,443,0,91.23
15,27.09,36.33,0,705.83,14.55,443,0,75.07
13,38.1,45.6,0,908.28,34.38,80,0,75.73
14,33.35,27.52,0,724.02,26.5,80,0,80.03
16,12.02,30.99,0,823.17,6.56,80,0,100.0
10,46.26,35.37,0,834.9,14.05,80,0,95.45
22,33.15,22.25,0,729.54,11.06,443,0,93.23
9,32.98,26.82,0,812.59,16.68,80,0,81.37
9,29.86,11.86,2,724.94,15.5,443,0,86.12
18,22.23,26.39,0,724.05,1.66,443,0,76.3
17,33.27,29.98,2,1015.33,2.66,443,0,100.0
16,37.13,30.16,2,835.08,3.09,443,0,100.0
16,3.8,35.65,3,869.41,17.06,443,0,95.57
13,21.92,17.25,0,508.54,16.65,443,0,97.32
10,26.18,19.67,1,884.69,6.84,443,0,88.41
14,33.84,43.96,0,906.08,8.69,443,0,73.81
11,47.9,23.5,0,720.33,17.54,80,0,81.56
17,18.42,27.0,0,1217.01,3.75,443,0,85.35
13,22.53,24.33,1,342.15,0.51,22,0,86.15
10,22.31,16.78,0,956.87,6.59,443,0,83.85
12,17.98,41.24,0,942.56,24.5,443,0,90.48
15,24.79,19.72,0,908.32,15.63,443,0,81.5
11,41.56,13.73,0,835.24,4.57,8080,0,100.0
10,14.19,20.49,0,910.14,0.67,443,0,76.35
14,36.42,4.98,0,973.64,10.13,443,0,98.87
14,4.47,18.49,0,654.82,17.99,443,0,87.38
11,21.58,15.32,1,859.84,10.93,443,0,94.63
12,25.06,31.17,0,763.34,5.54,443,0,95.08
14,55.12,18.27,2,581.25,1.32,80,0,91.57
8,25.88,33.88,0,943.43,24.17,443,0,78.67
8,3.02,38.98,0,687.13,3.23,443,0,86.68
11,0.02,32.81,0,500.43,2.54,443,0,91.69
13,30.51,22.85,0,692.18,16.93,443,0,91.06
15,39.21,26.41,0,640.22,39.75,22,0,79.77
19,35.63,9.75,0,1005.7,10.79,80,0,100.0
17,32.51,23.66,0,830.64,9.8,443,0,65.06
13,47.43,16.4,0,1076.48,3.85,443,0,87.5
13,21.91,31.94,0,666.69,0.21,22,0,80.79
9,43.42,50.73,0,974.83,2.13,443,0,91.82
13,5.52,30.0,0,1367.92,8.78,443,0,100.0
12,16.43,5.09,0,871.21,1.64,22,0,75.93
15,2.89,21.39,0,972.33,21.53,443,0,100.0
10,25.88,26.22,3,938.7,2.08,443,0,92.02
16,29.31,25.87,0,515.58,7.38,443,0,93.82
20,31.71,17.69,0,917.16,7.17,22,0,75.6
13,30.93,27.45,0,861.29,9.26,443,0,89.53
15,16.09,12.57,0,748.05,3.97,443,1,99.72
16,27.15,15.55,0,623.19,20.68,80,0,92.1
12,7.54,31.46,0,938.8,5.88,80,0,91.4
14,50.45,14.84,0,605.52,12.04,443,0,89.48
14,25.45,30.38,0,1226.73,10.1,443,0,76.22
14,22.67,11.31,0,822.83,1.25,443,0,76.16
10,53.83,42.65,0,555.34,9.75,443,0,100.0
14,11.37,17.26,0,697.2,8.0,443,0,98.82
15,13.12,22.76,0,744.37,22.89,80,0,100.0
19,13.56,28.31,0,1282.48,21.28,443,0,81.77
17,28.98,19.35,0,623.08,1.64,443,0,88.42
22,36.47,26.43,0,776.76,0.85,443,0,100.0
10,41.1,30.75,0,692.43,3.49,443,0,77.71
17,68.58,34.61,1,899.85,43.13,80,0,100.0
14,3.74,32.91,0,695.62,0.22,80,0,84.13
22,39.13,23.28,0,572.19,11.17,443,0,81.45
10,21.64,23.53,0,760.94,9.38,443,0,89.68
10,21.2,48.49,0,740.12,10.4,443,0,78.83
11,20.7,34.5,0,681.55,2.46,443,0,71.03
5,16.37,15.78,0,692.24,2.57,443,0,90.76
11,55.27,26.0,0,1036.94,5.63,443,1,95.34
10,42.63,21.65,0,736.05,1.01,443,0,100.0
14,30.35,23.65,0,573.17,0.78,443,0,96.07
15,50.27,12.71,0,707.58,0.93,443,1,100.0
21,7.31,20.88,0,810.87,8.51,443,0,100.0
17,10.04,43.12,0,532.75,5.07,443,0,97.38
11,2.67,30.79,0,1125.2,3.48,80,0,94.69
10,19.51,0.09,0,973.52,3.8,443,0,100.0
15,32.43,37.17,0,1086.03,2.32,22,0,67.87
8,31.54,35.9,1,878.43,5.3,443,0,85.2
21,32.24,21.41,0,381.26,2.27,443,1,71.42
18,8.83,32.17,0,1107.07,11.97,443,0,96.63
12,42.05,16.41,0,627.29,1.32,443,0,82.57
7,33.59,20.3,0,643.56,29.61,80,0,100.0
19,41.0,39.99,0,831.27,0.94,443,0,84.82
13,1.61,22.28,0,1075.65,28.73,443,0,91.06
18,34.67,6.3,0,1010.66,17.92,443,0,85.98
7,12.18,24.37,0,981.26,11.42,443,0,85.11
11,24.04,24.21,0,737.63,24.34,443,1,77.53
14,38.02,36.98,0,734.48,1.5,443,0,77.2
14,31.37,25.14,0,869.19,1.94,443,0,68.21
12,17.23,20.78,3,773.99,2.91,80,0,95.45
16,30.09,35.45,0,977.86,2.81,443,0,85.75
9,7.03,26.21,0,966.02,3.72,443,0,100.0
13,47.25,17.5,0,918.27,8.57,443,0,77.56
14,26.92,36.55,0,294.81,0.29,80,1,100.0
16,46.78,26.94,0,825.6,4.82,80,0,100.0
16,22.1,25.03,0,778.23,2.83,443,0,100.0
9,22.15,26.78,0,833.61,9.33,443,1,92.35
7,18.54,14.29,0,649.14,42.11,443,0,86.62
19,43.14,19.72,0,535.04,7.29,443,0,100.0
15,19.36,25.04,0,892.63,5.55,443,0,82.09
11,39.67,23.05,0,728.74,4.59,443,0,92.71
20,24.26,37.72,0,914.94,15.37,80,1,89.56
14,0.36,27.17,0,665.82,0.75,443,0,81.09
18,21.45,33.55,0,1083.18,32.13,443,0,92.78
14,12.31,25.09,0,1000.21,5.41,443,0,97.42
22,30.51,35.56,0,859.37,3.76,80,0,80.69
21,12.14,28.98,0,757.34,36.52,443,0,94.6
13,43.89,25.13,0,970.48,27.47,443,0,67.71
17,28.63,24.87,0,878.51,10.27,443,1,79.51
16,27.34,15.46,0,847.72,0.19,443,0,85.43
19,39.84,30.07,0,1008.57,13.8,443,0,93.57
10,44.46,24.6,0,1085.31,4.09,443,0,98.69
16,29.7,19.98,1,549.52,4.91,443,0,90.83
18,18.43,36.06,0,589.92,1.73,443,0,95.67
6,3.39,12.5,0,643.95,7.41,443,0,88.39
9,19.71,20.78,1,499.52,13.65,443,0,94.05
5,20.74,35.28,0,787.45,3.19,443,0,93.52
12,31.61,28.16,0,920.02,27.93,443,0,84.91
16,24.82,24.52,0,795.72,2.17,80,1,86.45
20,40.32,27.51,0,693.18,0.69,80,0,96.0
14,20.81,26.79,0,1025.29,10.34,8080,0,100.0
20,29.14,9.83,0,828.11,18.93,443,0,100.0
8,47.76,21.51,0,868.6,30.6,443,0,78.71
7,35.13,41.17,0,1030.85,14.57,443,1,78.74
13,29.1,18.41,0,775.35,2.23,443,1,84.64
15,20.97,21.82,1,1212.04,38.01,443,0,90.99
13,20.5,19.58,0,710.44,25.19,443,0,90.48
5,17.24,24.13,0,1199.59,1.78,443,0,100.0
13,21.88,19.17,0,605.05,8.18,443,1,100.0
8,41.33,29.87,0,903.5,8.11,8080,0,90.06
16,26.67,26.97,0,671.49,5.84,443,0,87.72
15,9.75,32.74,0,1023.91,41.53,443,0,95.17
10,56.52,14.49,0,704.35,0.61,443,0,100.0
11,34.8,21.6,0,858.17,9.87,80,0,95.52
9,8.9,22.74,0,669.89,2.3,80,0,85.68
13,23.37,29.56,0,987.45,7.49,443,0,83.88
17,31.66,17.07,0,668.85,15.13,443,0,78.89
10,55.57,34.16,0,1136.68,2.83,80,0,91.93
16,13.38,36.86,0,600.8,5.0,443,0,96.23
11,44.64,15.11,0,530.87,30.11,8080,0,97.35
10,50.99,20.09,0,990.31,14.33,443,0,100.0
13,20.57,19.68,1,681.67,8.5,443,0,100.0
9,25.84,51.32,0,798.55,2.51,80,0,76.25
11,14.46,20.7,0,735.55,5.54,443,0,94.05
9,26.95,41.78,0,537.48,14.87,443,0,94.39
21,29.45,12.33,0,784.6,17.18,443,1,89.26
14,39.89,15.1,0,1052.98,2.81,80,0,81.72
11,46.35,18.13,0,1000.63,10.85,443,0,100.0
14,18.78,16.54,0,846.36,1.0,443,0,84.11
13,0.49,22.32,0,1022.45,0.23,443,0,68.07
13,29.68,17.91,0,588.1,7.96,80,0,90.2
16,34.4,16.81,0,734.91,2.54,443,0,87.62
17,33.74,36.58,0,879.16,0.82,443,0,100.0
11,25.1,37.24,0,773.92,13.09,443,0,94.9
11,31.87,34.49,0,750.64,6.89,80,0,86.95
12,52.73,30.24,0,559.87,15.91,80,0,88.03
4,35.73,25.93,0,383.73,10.9,443,0,87.92
7,24.4,20.03,0,963.57,13.09,80,0,100.0
19,22.5,15.47,0,848.64,3.67,443,0,96.75
20,27.45,28.63,0,980.4,3.06,443,0,75.93
13,54.55,13.26,0,712.55,9.18,80,0,87.56
16,27.25,15.06,0,657.44,2.23,443,0,89.76
15,29.7,36.53,0,801.31,16.9,443,0,78.92
23,22.77,44.01,0,970.84,7.4,22,0,72.17
18,46.48,28.93,0,753.71,2.57,443,0,95.96
13,59.4,36.06,0,960.36,9.81,443,0,81.95
10,36.76,22.54,2,598.74,29.01,80,1,100.0
7,31.24,11.62,0,767.71,0.86,443,1,90.08
14,30.55,31.12,0,785.98,1.16,443,0,85.26
10,5.76,30.69,0,1045.28,18.57,443,0,65.83
8,41.18,25.72,0,841.53,1.16,443,0,100.0
11,32.01,22.58,0,1149.22,0.4,443,0,92.94
9,36.43,34.62,0,530.46,4.28,443,0,85.52
20,19.33,15.14,0,825.98,6.29,443,0,81.1
17,24.23,17.26,0,835.88,8.43,80,0,100.0
13,23.83,14.92,0,924.02,7.08,443,0,79.36
19,45.32,25.85,0,637.33,24.44,443,0,86.31
